Name Company,Company Overview,Company Size,Company Address,Industry,company_id
'CÔNG TY TNHH THƯƠNG MẠI KATA VIỆT NAM - chi nhánh HCM,"Công ty TNHH Thương Mại KATA Việt Nam (KATA VINA Co.,LTD), nhà phân phối độc quyền chính hãng và lớn nhất tại Việt Nam của SKG – thương hiệu số 1 Trung Quốc về phát triển các thiết bị sức khỏe thông minh. Các dòng sản phẩm máy mát-xa thông minh, nhỏ gọn, thiết kế sang trọng, trẻ trung đang được bán tại KATA gồm: các dòng máy massage cổ, dòng máy massage gun, dòng massage toàn thân. Với mong muốn trở thành doanh nghiệp toàn cầu, KATA Việt Nam sẽ không ngừng tiếp tục tối ưu hóa quy trình tự chủ sản xuất và kinh doanh, đa dạng danh mục sản phẩm, mở rộng thị trường, đẩy mạnh xuất khẩu nhằm mang lại những giá trị cao nhất cho người tiêu dùng trong nước và quốc tế.",100-499,"A21 Cao Thị Chính, Phú Thuận, Q7, TP HCM",Kinh doanh / Bán hàng,C_eb24cc5a
.CÔNG TY TNHH BẢO HIỂM NHÂN THỌ CATHAY - VIỆT NAM,"CÔNG TY TNHH BHNT CATHAY VIỆT NAM: CAM KẾT CUNG CẤP DỊCH VỤ BẢO HIỂM VÀ TÀI CHÍNH ƯU VIỆT NHẤT CÙNG CHẤT LƯỢNG PHỤC VỤ HOÀN HẢO TRÊN MỌI PHƯƠNG DIỆN CHO NGƯỜI VIỆT NAMVới mục tiêu trở thành tập đoàn tài chính vững mạnh nhất khu vực Châu Á, Công ty BHNT Cathay chính thức thành lập “Công ty bảo hiểm nhân thọ Cathay Việt Nam”, là công ty Châu Á đầu tiên được Bộ tài chính cấp phép hoạt động trong lĩnh vực bảo hiểm nhân thọ. Kế thừa lịch sử hơn 50 năm hoạt động thành công cùng quan niệm kinh doanh thực tế, nhiệt thành phục vụ theo phương châm “Luôn tôn trọng khách hàng, hướng tới một dịch vụ hoàn hảo”, công ty Cathay ngày càng khẳng định được vị thế của mình tại thị trường trong và ngoài nước, tự tin đưa dịch vụ của công ty từ Đài Loan vươn tới thị trường Việt Nam.Bước đầu gia nhập thị trường bảo hiểm nhân thọ Việt Nam, Cathay sẽ tiếp tực duy trì chính sách kinh doanh ổn định vững mạnh, cung cấp dịch vụ bảo hiểm tài chính toàn diện, đồng thời thực hiện mục tiêu trở thành tập đoàn tài chính vững mạnh nhất khu vực châu Á.",100-499,46-48-50 Phạm Hồng Thái - Quận 1 - Th.phố Hồ Chí Minh,"nhân viên chăm sóc khách hàng, nhân viên tư vấn bảo hiểm",C_cf240e92
0327814464 Công Ty Vận Tải Thương Mại Và Sản Xuất,Đang cập nhật,Đang cập nhật,Hà Nội Zzzzz,Lái Xe Lương Cao,C_bf858d84
0364.459.519,công ty vận tải........................................0364459519,100-499,0364459519,Lái Xe Lương Cao,C_3daac9af
0398-092-263 Công Ty thương mại vận tải,0398-092-263 Công ty Thịnh Phát ddddddddddddddddddddddddddddddddddđ ddddddddddddddd vvvvvv vvvvvvvvv vvvvvvvv v v d ds f df v fdf fsf f f đ,100-499,hà nội xxxxxxx,Lái Xe Lương Cao,C_847830aa
24H Service Company Limited,"Công ty 24H Service được thành lập từ năm 2015, chúng tôi đã vượt qua vô số thử thách và cuối cùng có thể phát triển như ngày hôm nay. Chúng tôi được biết đến là một công ty chuyên về lĩnh vực tổ chức sự kiện, truyền thông chuyên nghiệp tại Việt Nam. Nghĩa vụ của chúng tôi là tạo nên các sự kiện trang trọng, có ý nghĩa và đặc biệt nhất đến cho các doanh nghiệp, các khách hàng tiềm năng của chúng tôi. Với lực lượng nhân sự nhiệt tình, tiềm năng và năng động, chúng tôi chắc chắn có thể lắng nghe và thể hiện thông điệp quan trọng của khách hàng để có thể xây dựng cảm nhận, trải nghiệm mới mẻ trong từng dự án. Mỗi một lần hợp tác đều là mỗi cơ hội dành cho chúng tôi thể hiện năng lực và càng trở nên hoàn thiện hơn. Chúng tôi không chỉ nỗ lực trong việc hoàn tất yêu cầu của bạn một cách hoàn hảo nhất, mà chúng tôi còn khao khát trở thành đối tác đóng vai trò tư vấn, cung cấp dịch vụ tốt nhất và cùng đồng hành với sự phát triển doanh nghiệp của khách hàng tiềm năng. Chúng tôi tin rằng mối liên kết tích cực sẽ được đáp lại bởi chiến thắng rực rỡ.",Đang cập nhật,"186A Bình Quới, Phường 28, Quận Bình Thạnh",thiết kế đồ họa,C_4cf58c00
24H Store,Đang cập nhật,Đang cập nhật,"673 Âu Cơ,P.Tân Thành, Q.Tân Phú",Nhân Viên Bán Cà Phê,C_acb4b7c2
3H - Biztech,"Được thành lập năm 2006 bởi đội ngũ công nhân kỹ thuật và kĩ sư chuyên nghiệp, đã trở thành nhà cung cấp sản phẩm và dịch vụ đáng tin cậy với các vật tư, thiết bị chất lượng cao, giá thành hợp lý, dịch vụ nhanh chóng, phục vụ trong các ngành; o Ngành điện tử, bán dẫn o Ngành dược phẩm o Ngành chế biến thực phẩm o Ngành hóa mỹ phẩm o Các ngành công nghiệp khác",25-99,"68/97 Đường TA 32, Khu phố 5, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Kinh doanh / Bán hàng,C_b5c8bac9
3T SÀI GÒN,"I9, đường Lý Thái Tổ, phường Hoà Phú, Thủ Dầu Một, Bình Dương",25-99,"I9, đường Lý Thái Tổ, phường Hoà Phú, Thủ Dầu Một, Bình Dương",nhân viên kế toán,C_130c1881
45CM VINA COMPANY,"Với sự phát triển vượt trội của internet , bên cạnh đó là sự hình thành lối sống mới từ sau ảnh hưởng nặng nề hậu giãn cách, mua bán online đã và đang chiếm lĩnh thị trường ,nhất là xu hướng mua bán trao đổi đồ đã qua sử dụng. Nắm bắt được điều này, công ty TNHH 45CM VINA với vốn đầu tư Hàn Quốc, đươc thành lập. 45CM hướng đến việc tạo ra sàn rao vặt trực tuyến mua bán đồ cũ, cả web và app, với tiêu chí an toàn thân thiện, xóa bỏ khoảng cách về lòng tin và địa lý, kết nối mua bán đơn giản, dễ dàng hơn bao giờ hết.45CM chú trọng vào việc áp dụng công nghệ mới, xây dựng thêm nhiều tính năng tiện lợi, mang lại trải nghiệm tốt cho người dùngMọi thứ bạn cần đều không ở đâu xa !ngay tại 45CM, người dùng có thể mua bán đa dạng mặt hàng đồ cũ từ thời trang, đồ gia dụng đến các thiết bị điện tử, mua bán thú cưng, hay rao vặt các tin đăng về mua bán cho thuê bất động sản, tìm kiếm việc làm .Ứng viên thân mến ! 45CM luôn tìm kiếm đồng đội tài năng , nhiệt huyết, cùng nhau xây dựng hệ thống 45CM tối ưu và lớn mạnh vượt trộiTài sản quý giá của một doanh nghiệp chưa phải là máy móc thiết bị, hay sản phẩm gì quá nổi trội. Đầu tiên và thiết yếu nhất, đó là nguồn nhân lựcHiểu được điều này, Ở 45CM, chúng tôi luôn luôn lắng nghe những trăn trở, mong muốn định hướng nghề nghiệp của nhân viênVới văn hóa cốt lõi xem trọng sự chia sẻ rõ ràng , tôn trọng nhân viên và cùng nâng đỡ nhau phát triển lớn mạnh , mỗi ngày đến văn phòng 45CM, bạn sẽ luôn cảm thấy happy",25-99,"số 9 đường 12, KDC Cityland Park Hills, Phường 10, Quận Gò Vấp, Tp HCM",IT phần mềm,C_0e8dfa4e
"6B Nguyễn Lương Bằng, Tân Phú, Quận 7, Tp Hồ Chí Minh","Tuyển dụng người giúp việc, người làm cho gia đình. Người nào có tinh thần chịu khó và có thể gắn bó lâu dài mà đang muốn xin việc thì hãy liên hệ với tôi qua SĐT: 0903.910.832",Đang cập nhật,"6B Nguyễn Lương Bằng, Tân Phú, Quận 7, Tp Hồ Chí Minh",giúp việc nhà bao ăn ở,C_abca34d3
